language,gloss,task3_score,clearance_reason
Chuvash,all,-1.4483,Chuvash within-group normal or Bulgar phonology
Chuvash,already,-1.1872,Chuvash within-group normal or Bulgar phonology
Chuvash,bitter,-1.1916,Chuvash within-group normal or Bulgar phonology
Chuvash,boy,-1.2353,Chuvash within-group normal or Bulgar phonology
Chuvash,breast,-1.1875,Chuvash within-group normal or Bulgar phonology
Chuvash,child,-1.2353,Chuvash within-group normal or Bulgar phonology
Chuvash,cow,-1.1883,Chuvash within-group normal or Bulgar phonology
Chuvash,decay,-1.2233,Chuvash within-group normal or Bulgar phonology
Chuvash,decrease,-1.205,Chuvash within-group normal or Bulgar phonology
Chuvash,drink,-1.3717,Chuvash within-group normal or Bulgar phonology
Chuvash,"drop, descend",-1.205,Chuvash within-group normal or Bulgar phonology
Chuvash,earth,-1.2233,Chuvash within-group normal or Bulgar phonology
Chuvash,elbow,-1.1874,Chuvash within-group normal or Bulgar phonology
Chuvash,end,-1.2202,Chuvash within-group normal or Bulgar phonology
Chuvash,feel,-1.2587,Chuvash within-group normal or Bulgar phonology
Chuvash,flower,-1.2639,Chuvash within-group normal or Bulgar phonology
Chuvash,fly,-1.2202,Chuvash within-group normal or Bulgar phonology
Chuvash,grow,-1.2682,Chuvash within-group normal or Bulgar phonology
Chuvash,knife,-1.3717,Chuvash within-group normal or Bulgar phonology
Chuvash,living,-1.3483,Chuvash within-group normal or Bulgar phonology
Chuvash,matter,-1.3717,Chuvash within-group normal or Bulgar phonology
Chuvash,memory,-1.2394,Chuvash within-group normal or Bulgar phonology
Chuvash,or,-1.2465,Chuvash within-group normal or Bulgar phonology
Chuvash,pointed,-1.1909,Chuvash within-group normal or Bulgar phonology
Chuvash,raw,-1.3483,Chuvash within-group normal or Bulgar phonology
Chuvash,ribbon,-1.1903,Chuvash within-group normal or Bulgar phonology
Chuvash,ring,-1.3038,Chuvash within-group normal or Bulgar phonology
Chuvash,rot,-1.2233,Chuvash within-group normal or Bulgar phonology
Chuvash,silver,-1.1885,Chuvash within-group normal or Bulgar phonology
Chuvash,soft,-1.187,Chuvash within-group normal or Bulgar phonology
Chuvash,sour,-1.1916,Chuvash within-group normal or Bulgar phonology
Chuvash,stick,-1.1995,Chuvash within-group normal or Bulgar phonology
Chuvash,sting,-1.1995,Chuvash within-group normal or Bulgar phonology
Chuvash,thigh,-1.3078,Chuvash within-group normal or Bulgar phonology
Chuvash,tip,-1.2202,Chuvash within-group normal or Bulgar phonology
Chuvash,window,-1.2325,Chuvash within-group normal or Bulgar phonology
Kyrgyz,horn,-2.468,Central Turkic: passes Infra 6A two-condition gate
Kyrgyz,many,-2.2184,Central Turkic: passes Infra 6A two-condition gate
Uyghur,all,-1.701,Central Turkic: passes Infra 6A two-condition gate
Uyghur,horn,-3.0289,Central Turkic: passes Infra 6A two-condition gate
Yakut,age,-1.2284,Yakut within-group normal -- inherited Siberian divergence
Yakut,all,-1.6245,Yakut within-group normal -- inherited Siberian divergence
Yakut,area,-1.2056,Yakut within-group normal -- inherited Siberian divergence
Yakut,assemble,-1.2151,Yakut within-group normal -- inherited Siberian divergence
Yakut,await,-1.207,Yakut within-group normal -- inherited Siberian divergence
Yakut,back,-1.2407,Yakut within-group normal -- inherited Siberian divergence
Yakut,bag,-1.2164,Yakut within-group normal -- inherited Siberian divergence
Yakut,belly,-1.2499,Yakut within-group normal -- inherited Siberian divergence
Yakut,bend,-1.2123,Yakut within-group normal -- inherited Siberian divergence
Yakut,blow,-1.3099,Yakut within-group normal -- inherited Siberian divergence
Yakut,blue,-1.2072,Yakut within-group normal -- inherited Siberian divergence
Yakut,board,-1.2081,Yakut within-group normal -- inherited Siberian divergence
Yakut,brawl,-1.2642,Yakut within-group normal -- inherited Siberian divergence
Yakut,break,-1.2144,Yakut within-group normal -- inherited Siberian divergence
Yakut,breast,-1.2542,Yakut within-group normal -- inherited Siberian divergence
Yakut,brook,-1.2158,Yakut within-group normal -- inherited Siberian divergence
Yakut,burn,-1.1997,Yakut within-group normal -- inherited Siberian divergence
Yakut,calm,-1.2273,Yakut within-group normal -- inherited Siberian divergence
Yakut,cat,-1.1873,Yakut within-group normal -- inherited Siberian divergence
Yakut,cave,-1.2336,Yakut within-group normal -- inherited Siberian divergence
Yakut,cheek,-1.2054,Yakut within-group normal -- inherited Siberian divergence
Yakut,chime,-1.1983,Yakut within-group normal -- inherited Siberian divergence
Yakut,circle,-1.2267,Yakut within-group normal -- inherited Siberian divergence
Yakut,correct,-1.2498,Yakut within-group normal -- inherited Siberian divergence
Yakut,cover,-1.2056,Yakut within-group normal -- inherited Siberian divergence
Yakut,cross,-1.1985,Yakut within-group normal -- inherited Siberian divergence
Yakut,current,-1.2489,Yakut within-group normal -- inherited Siberian divergence
Yakut,daughter,-1.2517,Yakut within-group normal -- inherited Siberian divergence
Yakut,decorate,-1.202,Yakut within-group normal -- inherited Siberian divergence
Yakut,defend,-1.2383,Yakut within-group normal -- inherited Siberian divergence
Yakut,delicious,-1.1872,Yakut within-group normal -- inherited Siberian divergence
Yakut,dense,-1.2283,Yakut within-group normal -- inherited Siberian divergence
Yakut,disappear,-1.3245,Yakut within-group normal -- inherited Siberian divergence
Yakut,divide,-1.2323,Yakut within-group normal -- inherited Siberian divergence
Yakut,drag,-1.3853,Yakut within-group normal -- inherited Siberian divergence
Yakut,drink,-1.2499,Yakut within-group normal -- inherited Siberian divergence
Yakut,dry,-1.1928,Yakut within-group normal -- inherited Siberian divergence
Yakut,eagle,-1.2234,Yakut within-group normal -- inherited Siberian divergence
Yakut,egg,-1.2229,Yakut within-group normal -- inherited Siberian divergence
Yakut,empty,-1.1903,Yakut within-group normal -- inherited Siberian divergence
Yakut,escape,-1.1895,Yakut within-group normal -- inherited Siberian divergence
Yakut,fight,-1.2256,Yakut within-group normal -- inherited Siberian divergence
Yakut,fire,-1.2245,Yakut within-group normal -- inherited Siberian divergence
Yakut,flee,-1.1895,Yakut within-group normal -- inherited Siberian divergence
Yakut,flock,-1.2044,Yakut within-group normal -- inherited Siberian divergence
Yakut,floor,-1.2139,Yakut within-group normal -- inherited Siberian divergence
Yakut,flow,-1.2004,Yakut within-group normal -- inherited Siberian divergence
Yakut,forest,-1.2102,Yakut within-group normal -- inherited Siberian divergence
Yakut,fry,-1.196,Yakut within-group normal -- inherited Siberian divergence
Yakut,game,-1.2178,Yakut within-group normal -- inherited Siberian divergence
Yakut,gather,-1.2179,Yakut within-group normal -- inherited Siberian divergence
Yakut,gold,-1.306,Yakut within-group normal -- inherited Siberian divergence
Yakut,grain,-1.222,Yakut within-group normal -- inherited Siberian divergence
Yakut,grass,-1.2624,Yakut within-group normal -- inherited Siberian divergence
Yakut,ground,-1.2056,Yakut within-group normal -- inherited Siberian divergence
Yakut,hay,-1.2624,Yakut within-group normal -- inherited Siberian divergence
Yakut,heap,-1.2405,Yakut within-group normal -- inherited Siberian divergence
Yakut,heart,-1.2302,Yakut within-group normal -- inherited Siberian divergence
Yakut,height,-1.3014,Yakut within-group normal -- inherited Siberian divergence
Yakut,help,-1.2172,Yakut within-group normal -- inherited Siberian divergence
Yakut,home,-1.2651,Yakut within-group normal -- inherited Siberian divergence
Yakut,honey,-1.2352,Yakut within-group normal -- inherited Siberian divergence
Yakut,hook,-1.1869,Yakut within-group normal -- inherited Siberian divergence
Yakut,horn,-1.2687,Yakut within-group normal -- inherited Siberian divergence
Yakut,house,-1.2651,Yakut within-group normal -- inherited Siberian divergence
Yakut,hungry,-1.1946,Yakut within-group normal -- inherited Siberian divergence
Yakut,ice,-1.3329,Yakut within-group normal -- inherited Siberian divergence
Yakut,illness,-1.1877,Yakut within-group normal -- inherited Siberian divergence
Yakut,jump,-1.2015,Yakut within-group normal -- inherited Siberian divergence
Yakut,keep,-1.219,Yakut within-group normal -- inherited Siberian divergence
Yakut,knot,-1.312,Yakut within-group normal -- inherited Siberian divergence
Yakut,lay,-1.219,Yakut within-group normal -- inherited Siberian divergence
Yakut,lie,-1.1856,Yakut within-group normal -- inherited Siberian divergence
Yakut,light,-1.2245,Yakut within-group normal -- inherited Siberian divergence
Yakut,lose,-1.2131,Yakut within-group normal -- inherited Siberian divergence
Yakut,make,-1.227,Yakut within-group normal -- inherited Siberian divergence
Yakut,many,-1.4502,Yakut within-group normal -- inherited Siberian divergence
Yakut,master,-1.3441,Yakut within-group normal -- inherited Siberian divergence
Yakut,meet,-1.2673,Yakut within-group normal -- inherited Siberian divergence
Yakut,middle,-1.2658,Yakut within-group normal -- inherited Siberian divergence
Yakut,milk,-1.1985,Yakut within-group normal -- inherited Siberian divergence
Yakut,noon,-1.2124,Yakut within-group normal -- inherited Siberian divergence
Yakut,odour,-1.1856,Yakut within-group normal -- inherited Siberian divergence
Yakut,only,-1.2389,Yakut within-group normal -- inherited Siberian divergence
Yakut,pain,-1.1877,Yakut within-group normal -- inherited Siberian divergence
Yakut,pattern,-1.2408,Yakut within-group normal -- inherited Siberian divergence
Yakut,pike,-1.2086,Yakut within-group normal -- inherited Siberian divergence
Yakut,pillow,-1.1965,Yakut within-group normal -- inherited Siberian divergence
Yakut,place,-1.2056,Yakut within-group normal -- inherited Siberian divergence
Yakut,pointed,-1.201,Yakut within-group normal -- inherited Siberian divergence
Yakut,pouch,-1.1855,Yakut within-group normal -- inherited Siberian divergence
Yakut,produce,-1.227,Yakut within-group normal -- inherited Siberian divergence
Yakut,protect,-1.2383,Yakut within-group normal -- inherited Siberian divergence
Yakut,put,-1.219,Yakut within-group normal -- inherited Siberian divergence
Yakut,rain,-1.197,Yakut within-group normal -- inherited Siberian divergence
Yakut,request,-1.2145,Yakut within-group normal -- inherited Siberian divergence
Yakut,rescue,-1.2321,Yakut within-group normal -- inherited Siberian divergence
Yakut,ripe,-1.1931,Yakut within-group normal -- inherited Siberian divergence
Yakut,rise,-1.2015,Yakut within-group normal -- inherited Siberian divergence
Yakut,river,-1.299,Yakut within-group normal -- inherited Siberian divergence
Yakut,round,-1.2267,Yakut within-group normal -- inherited Siberian divergence
Yakut,salt,-1.2639,Yakut within-group normal -- inherited Siberian divergence
Yakut,say,-1.2397,Yakut within-group normal -- inherited Siberian divergence
Yakut,seed,-1.2739,Yakut within-group normal -- inherited Siberian divergence
Yakut,shadow,-1.1911,Yakut within-group normal -- inherited Siberian divergence
Yakut,sharp,-1.201,Yakut within-group normal -- inherited Siberian divergence
Yakut,shove,-1.285,Yakut within-group normal -- inherited Siberian divergence
Yakut,shovel,-1.2032,Yakut within-group normal -- inherited Siberian divergence
Yakut,side,-1.233,Yakut within-group normal -- inherited Siberian divergence
Yakut,sleeve,-1.264,Yakut within-group normal -- inherited Siberian divergence
Yakut,sound,-1.2231,Yakut within-group normal -- inherited Siberian divergence
Yakut,spade,-1.2032,Yakut within-group normal -- inherited Siberian divergence
Yakut,spark,-1.2328,Yakut within-group normal -- inherited Siberian divergence
Yakut,"sparkle, twinkle",-1.2208,Yakut within-group normal -- inherited Siberian divergence
Yakut,spring,-1.2284,Yakut within-group normal -- inherited Siberian divergence
Yakut,steal,-1.2314,Yakut within-group normal -- inherited Siberian divergence
Yakut,stick,-1.2068,Yakut within-group normal -- inherited Siberian divergence
Yakut,strength,-1.2082,Yakut within-group normal -- inherited Siberian divergence
Yakut,sweet,-1.1872,Yakut within-group normal -- inherited Siberian divergence
Yakut,there,-1.3412,Yakut within-group normal -- inherited Siberian divergence
Yakut,thick,-1.2283,Yakut within-group normal -- inherited Siberian divergence
Yakut,thigh,-1.2888,Yakut within-group normal -- inherited Siberian divergence
Yakut,third,-1.363,Yakut within-group normal -- inherited Siberian divergence
Yakut,thither,-1.3412,Yakut within-group normal -- inherited Siberian divergence
Yakut,three,-1.435,Yakut within-group normal -- inherited Siberian divergence
Yakut,towel,-1.326,Yakut within-group normal -- inherited Siberian divergence
Yakut,tree,-1.2068,Yakut within-group normal -- inherited Siberian divergence
Yakut,unite,-1.3055,Yakut within-group normal -- inherited Siberian divergence
Yakut,wait,-1.207,Yakut within-group normal -- inherited Siberian divergence
Yakut,wash,-1.2233,Yakut within-group normal -- inherited Siberian divergence
Yakut,water,-1.3209,Yakut within-group normal -- inherited Siberian divergence
Yakut,white,-1.2677,Yakut within-group normal -- inherited Siberian divergence
Yakut,who,-1.1945,Yakut within-group normal -- inherited Siberian divergence
Yakut,wife,-1.2534,Yakut within-group normal -- inherited Siberian divergence
Yakut,willow,-1.1976,Yakut within-group normal -- inherited Siberian divergence
Yakut,win,-1.238,Yakut within-group normal -- inherited Siberian divergence
Yakut,window,-1.286,Yakut within-group normal -- inherited Siberian divergence
Yakut,wipe,-1.2974,Yakut within-group normal -- inherited Siberian divergence
Yakut,wood,-1.2068,Yakut within-group normal -- inherited Siberian divergence
